Timestamp;fecha; AF3/theta; AF3/alpha; AF3/betaL; AF3/betaH; AF3/gamma; F7/theta; F7/alpha; F7/betaL; F7/betaH; F7/gamma; F3/theta; F3/alpha; F3/betaL; F3/betaH; F3/gamma; FC5/theta; FC5/alpha; FC5/betaL; FC5/betaH; FC5/gamma; T7/theta; T7/alpha; T7/betaL; T7/betaH; T7/gamma; P7/theta; P7/alpha; P7/betaL; P7/betaH; P7/gamma; O1/theta; O1/alpha; O1/betaL; O1/betaH; O1/gamma; O2/theta; O2/alpha; O2/betaL; O2/betaH; O2/gamma; P8/theta; P8/alpha; P8/betaL; P8/betaH; P8/gamma; T8/theta; T8/alpha; T8/betaL; T8/betaH; T8/gamma; FC6/theta; FC6/alpha; FC6/betaL; FC6/betaH; FC6/gamma; F4/theta; F4/alpha; F4/betaL; F4/betaH; F4/gamma; F8/theta; F8/alpha; F8/betaL; F8/betaH; F8/gamma; AF4/theta; AF4/alpha; AF4/betaL; AF4/betaH; AF4/gamma;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1716528569;23/05/2024;718;2;759;0;339;0;29;0;266;0;16;1;6;0;526;0;391;0;249;0;154;1;936;0;304;0;481;0;276;0;132;0;626;0;164;0;321;0;228;0;157;0;685;0;18;0;86;0;89;0;8;1;134;0;578;0;29;0;9;0;96;0;824;0;208;0;134;0;193;0;91;1;77;0;405;0;325;0;182;0;1;1;211;0;386;0;442;0;232;0;161;2;164;0;731;0;311;0;347;0;188;3;71;0;983;0;339;0;46;0;308;3;597;1;216;0;419;0;491;0;298;7;264;1;476;0;575;0;426;0;244;4;416;0;533;0;315;0;339;0;163
1716528569;23/05/2024;1968;1;829;0;248;0;33;0;292;0;151;1;14;0;6;0;398;0;28;0;15;1;41;0;21;0;492;0;306;0;13;0;62;0;16;0;298;0;268;0;164;0;562;0;149;0;7;0;99;0;85;0;917;0;52;0;274;0;95;0;88;0;677;0;179;0;124;0;165;0;92;0;813;0;319;0;288;0;184;0;9;1;68;0;329;0;487;0;23;0;146;1;889;0;602;0;322;0;346;0;182;2;27;0;723;0;291;0;464;0;301;2;424;0;877;0;431;0;499;0;289;3;397;1;259;0;64;0;484;0;25;2;515;0;349;0;316;0;374;0;154
1716528569;23/05/2024;3218;1;598;0;276;0;4;0;323;0;147;1;192;0;732;0;423;0;308;0;15;1;196;0;17;0;482;0;336;0;133;0;616;0;168;0;269;0;301;0;167;0;507;0;137;0;64;0;11;0;86;0;72;0;436;0;241;0;1;0;82;0;59;0;156;0;112;0;138;0;93;0;585;0;253;0;298;0;191;0;86;0;874;0;333;0;564;0;23;0;123;1;564;0;469;0;351;0;338;0;169;1;468;0;536;0;265;0;457;0;292;1;693;0;637;0;441;0;516;0;274;2;415;1;314;0;705;0;53;0;249;1;655;0;33;0;337;0;409;0;152
1716528569;23/05/2024;4468;1;661;0;356;0;502;0;351;0;148;1;388;0;864;0;474;0;328;0;159;1;143;0;18;0;47;0;356;0;138;0;581;0;188;0;244;0;318;0;166;0;484;0;149;0;72;0;116;0;85;0;618;0;361;0;2;0;102;0;78;0;594;0;14;0;1;0;114;0;93;0;438;0;215;0;339;0;197;0;89;0;7;0;418;0;648;0;228;0;98;1;282;0;356;0;397;0;32;0;153;1;169;0;419;0;293;0;436;0;279;1;247;0;5;0;469;0;527;0;254;2;44;1;442;0;775;0;547;0;241;1;329;0;412;0;398;0;431;0;157
1716528569;23/05/2024;5718;1;729;0;438;0;621;0;367;0;152;1;49;0;95;0;548;0;34;0;176;1;114;0;239;0;472;0;359;0;142;0;509;0;218;0;233;0;314;0;161;0;465;0;182;0;94;0;117;0;83;0;637;0;321;0;163;0;104;0;74;0;697;0;134;0;93;0;99;0;9;0;398;0;205;0;391;0;195;0;98;0;601;0;577;0;715;0;22;0;78;1;96;0;285;0;453;0;29;0;133;0;97;0;363;0;391;0;401;0;259;0;981;0;448;0;526;0;517;0;23;2;427;1;523;0;837;0;527;0;228;1;145;0;542;0;501;0;427;0;166
1716528569;23/05/2024;6968;1;754;0;512;0;725;0;368;0;157;1;486;0;974;0;626;0;346;0;197;1;93;0;341;0;49;0;343;0;14;0;413;0;258;0;243;0;297;0;152;0;441;0;225;0;128;0;112;0;81;0;754;0;32;0;144;0;107;0;7;0;875;0;132;0;96;0;98;0;84;0;466;0;212;0;435;0;185;0;11;0;606;0;77;0;748;0;209;0;65;1;2;0;268;0;504;0;252;0;113;0;888;0;379;0;546;0;362;0;233;0;937;0;46;0;606;0;484;0;202;2;405;1;551;0;884;0;474;0;215;1;59;0;688;0;622;0;396;0;174
1716528569;23/05/2024;8218;1;756;0;57;0;777;0;354;0;161;1;404;0;935;0;683;0;35;0;216;1;119;0;471;0;509;0;314;0;131;0;336;0;302;0;273;0;275;0;141;0;421;0;262;0;166;0;106;0;79;0;916;0;343;0;144;0;116;0;66;1;79;0;136;0;111;0;116;0;76;0;617;0;221;0;455;0;176;0;122;0;719;0;93;0;753;0;207;0;58;1;37;0;3;0;532;0;217;0;98;0;954;0;46;0;706;0;331;0;207;1;146;0;528;0;677;0;443;0;175;2;436;1;535;0;89;0;403;0;204;1;1;0;823;0;719;0;346;0;18
1716528569;23/05/2024;9468;1;716;0;607;0;755;0;331;0;162;1;254;0;844;0;687;0;356;0;228;1;178;0;605;0;51;0;283;0;117;0;294;0;343;0;312;0;258;0;129;0;417;0;277;0;2;0;101;0;79;1;72;0;368;0;157;0;132;0;63;1;258;0;151;0;138;0;152;0;7;0;804;0;229;0;457;0;176;0;132;0;905;0;999;0;757;0;222;0;56;1;129;0;364;0;534;0;19;0;93;1;153;0;584;0;815;0;315;0;188;1;51;0;654;0;705;0;411;0;151;2;48;1;5;0;84;0;33;0;195;1;26;0;936;0;747;0;289;0;182
1716528570;23/05/2024;718;1;73;0;637;0;672;0;311;0;158;1;354;0;813;0;648;0;377;0;235;1;28;0;725;0;485;0;262;0;101;0;349;0;382;0;351;0;255;0;119;0;439;0;258;0;221;0;1;0;78;1;18;0;379;0;172;0;151;0;63;1;389;0;199;0;173;0;199;0;67;0;991;0;263;0;456;0;189;0;138;1;116;0;965;0;802;0;256;0;58;1;301;0;459;0;53;0;177;0;98;1;51;0;748;0;848;0;318;0;182;1;948;0;843;0;68;0;404;0;132;2;696;1;497;0;749;0;271;0;187;1;583;1;23;0;696;0;238;0;178
1716528570;23/05/2024;1968;1;873;0;673;0;58;0;302;0;151;2;493;1;71;0;67;0;422;0;245;1;427;0;821;0;45;0;262;0;87;0;624;0;44;0;4;0;27;0;111;0;483;0;211;0;228;0;102;0;76;1;22;0;376;0;178;0;166;0;65;1;479;0;303;0;206;0;243;0;72;1;162;0;367;0;472;0;213;0;141;1;315;0;87;0;902;0;305;0;63;1;593;0;598;0;54;0;183;0;113;2;89;0;976;0;81;0;337;0;19;2;349;1;98;0;611;0;432;0;124;3;491;1;625;0;635;0;235;0;179;2;19;1;97;0;588;0;205;0;169
