Timestamp;Fecha;Hora;Movimiento;AF3/theta,;AF3/alpha,;AF3/betaL,;AF3/betaH,;AF3/gamma,;F7/theta,;F7/alpha,;F7/betaL,;F7/betaH,;F7/gamma,;F3/theta,;F3/alpha,;F3/betaL,;F3/betaH,;F3/gamma,;FC5/theta,;FC5/alpha,;FC5/betaL,;FC5/betaH,;FC5/gamma,;T7/theta,;T7/alpha,;T7/betaL,;T7/betaH,;T7/gamma,;P7/theta,;P7/alpha,;P7/betaL,;P7/betaH,;P7/gamma,;O1/theta,;O1/alpha,;O1/betaL,;O1/betaH,;O1/gamma,;O2/theta,;O2/alpha,;O2/betaL,;O2/betaH,;O2/gamma,;P8/theta,;P8/alpha,;P8/betaL,;P8/betaH,;P8/gamma,;T8/theta,;T8/alpha,;T8/betaL,;T8/betaH,;T8/gamma,;FC6/theta,;FC6/alpha,;FC6/betaL,;FC6/betaH,;FC6/gamma,;F4/theta,;F4/alpha,;F4/betaL,;F4/betaH,;F4/gamma,;F8/theta,;F8/alpha,;F8/betaL,;F8/betaH,;F8/gamma,;AF4/theta,;AF4/alpha,;AF4/betaL,;AF4/betaH,;AF4/gamma
1716315241;21/05/2024;18:14:01;Izquierda;6,248,;3,204,;3,497,;1,654,;1,739,;13,09,;5,068,;4,245,;1,35,;1,62,;5,122,;1,958,;2,285,;1,221,;1,186,;5,359,;2,633,;3,457,;1,122,;1,524,;2,709,;2,667,;4,089,;1,181,;1,892,;1,816,;3,289,;3,709,;2,779,;2,937,;2,34,;2,336,;4,139,;2,349,;1,877,;3,061,;2,039,;3,197,;1,185,;2,403,;1,904,;0,695,;1,399,;0,671,;0,731,;5,297,;3,969,;5,786,;2,318,;2,878,;3,703,;2,561,;2,576,;0,933,;1,602,;3,153,;2,375,;2,89,;1,332,;1,554,;18,274,;5,497,;4,098,;1,161,;2,096,;4,5,;3,245,;2,915,;1,097,;1,436
1716315241;21/05/2024;18:14:01;Izquierda;6,147,;3,101,;3,224,;1,678,;1,726,;10,272,;3,868,;3,527,;1,435,;1,62,;4,645,;1,736,;2,07,;1,154,;1,155,;4,366,;2,155,;3,053,;1,203,;1,494,;2,686,;2,437,;3,599,;1,394,;1,891,;2,375,;2,985,;3,361,;2,588,;2,539,;2,864,;2,103,;3,945,;2,505,;1,82,;3,666,;1,75,;2,937,;1,348,;2,356,;2,936,;0,671,;1,395,;0,78,;0,721,;6,301,;3,521,;5,111,;2,282,;2,794,;4,097,;2,545,;2,533,;1,002,;1,571,;3,461,;2,242,;2,683,;1,282,;1,533,;18,809,;6,373,;4,424,;1,34,;2,134,;4,605,;3,327,;2,783,;1,133,;1,409
1716315241;21/05/2024;18:14:01;Izquierda;5,729,;2,966,;2,889,;1,887,;1,683,;8,641,;3,142,;2,881,;1,698,;1,594,;3,981,;1,518,;1,813,;1,22,;1,11,;3,738,;1,806,;2,582,;1,443,;1,43,;2,914,;2,163,;2,933,;1,796,;1,832,;3,157,;2,613,;2,784,;2,377,;2,12,;3,577,;1,813,;3,477,;2,667,;1,763,;4,086,;1,545,;2,658,;1,601,;2,266,;4,107,;0,69,;1,293,;0,963,;0,685,;6,687,;3,012,;4,083,;2,41,;2,647,;4,69,;2,535,;2,324,;1,152,;1,488,;3,596,;2,05,;2,306,;1,33,;1,487,;20,485,;7,367,;4,531,;1,623,;2,108,;4,596,;3,332,;2,529,;1,237,;1,365
1716315241;21/05/2024;18:14:01;Izquierda;5,177,;2,854,;2,647,;2,264,;1,607,;8,081,;2,942,;2,505,;2,108,;1,526,;3,337,;1,374,;1,616,;1,41,;1,055,;3,493,;1,664,;2,216,;1,816,;1,328,;3,311,;1,943,;2,296,;2,336,;1,701,;3,932,;2,294,;2,174,;2,17,;1,78,;4,304,;1,554,;2,882,;2,767,;1,728,;4,245,;1,538,;2,417,;1,919,;2,142,;5,116,;0,776,;1,131,;1,193,;0,63,;6,325,;2,592,;3,029,;2,72,;2,466,;5,281,;2,515,;2,073,;1,376,;1,368,;3,601,;1,862,;1,941,;1,482,;1,415,;22,096,;8,118,;4,506,;1,975,;2,006,;4,456,;3,251,;2,276,;1,402,;1,301
1716315241;21/05/2024;18:14:01;Izquierda;4,697,;2,78,;2,583,;2,7,;1,509,;8,024,;3,073,;2,446,;2,555,;1,426,;2,868,;1,332,;1,534,;1,653,;0,997,;3,508,;1,715,;2,045,;2,219,;1,207,;3,719,;1,829,;1,847,;2,876,;1,522,;4,434,;2,105,;1,748,;1,985,;1,582,;4,798,;1,373,;2,312,;2,75,;1,722,;4,106,;1,718,;2,269,;2,248,;1,994,;5,64,;0,913,;0,961,;1,417,;0,569,;5,416,;2,311,;2,249,;3,131,;2,289,;5,667,;2,438,;1,888,;1,635,;1,228,;3,575,;1,716,;1,731,;1,698,;1,326,;22,355,;8,26,;4,421,;2,323,;1,836,;4,186,;3,06,;2,113,;1,584,;1,217
1716315242;21/05/2024;18:14:02;Izquierda;4,47,;2,697,;2,701,;3,04,;1,405,;7,897,;3,227,;2,645,;2,896,;1,317,;2,668,;1,359,;1,574,;1,85,;0,947,;3,658,;1,855,;2,084,;2,523,;1,097,;3,992,;1,804,;1,699,;3,252,;1,342,;4,531,;2,05,;1,679,;1,845,;1,534,;4,936,;1,261,;1,904,;2,61,;1,74,;3,766,;1,974,;2,28,;2,526,;1,836,;5,55,;1,041,;0,839,;1,577,;0,516,;4,489,;2,139,;1,94,;3,503,;2,135,;5,739,;2,256,;1,828,;1,861,;1,087,;3,687,;1,606,;1,737,;1,908,;1,228,;20,514,;7,605,;4,316,;2,578,;1,623,;3,878,;2,761,;2,073,;1,723,;1,124
1716315242;21/05/2024;18:14:02;Izquierda;4,591,;2,53,;3,008,;3,179,;1,306,;7,509,;3,198,;3,072,;3,032,;1,222,;2,741,;1,375,;1,741,;1,934,;0,906,;3,844,;1,953,;2,337,;2,634,;1,016,;4,089,;1,811,;1,934,;3,354,;1,204,;4,284,;2,062,;2,041,;1,8,;1,613,;4,776,;1,186,;1,74,;2,395,;1,777,;3,448,;2,171,;2,519,;2,71,;1,678,;4,922,;1,098,;0,81,;1,639,;0,479,;4,111,;2,003,;2,195,;3,702,;1,996,;5,562,;1,951,;1,939,;1,996,;0,96,;4,074,;1,495,;1,962,;2,042,;1,132,;17,07,;6,26,;4,263,;2,682,;1,399,;3,696,;2,362,;2,176,;1,78,;1,032
1716315242;21/05/2024;18:14:02;Izquierda;5,236,;2,282,;3,516,;3,14,;1,224,;7,002,;2,968,;3,734,;2,987,;1,157,;3,201,;1,337,;2,05,;1,923,;0,876,;4,107,;1,947,;2,813,;2,576,;0,976,;4,222,;1,808,;2,587,;3,217,;1,138,;4,036,;2,065,;2,781,;1,946,;1,78,;4,628,;1,126,;1,846,;2,214,;1,83,;3,317,;2,219,;3,024,;2,845,;1,535,;4,06,;1,056,;0,903,;1,61,;0,459,;4,705,;1,854,;2,971,;3,712,;1,858,;5,424,;1,575,;2,263,;2,044,;0,856,;4,846,;1,374,;2,375,;2,1,;1,046,;13,232,;4,607,;4,362,;2,66,;1,201,;3,971,;1,932,;2,427,;1,784,;0,952
1716315242;21/05/2024;18:14:02;Izquierda;6,771,;2,075,;4,155,;3,06,;1,171,;7,016,;2,648,;4,574,;2,891,;1,134,;4,384,;1,296,;2,459,;1,909,;0,862,;4,77,;1,883,;3,458,;2,477,;0,978,;4,901,;1,835,;3,565,;2,998,;1,149,;4,401,;2,05,;3,706,;2,398,;1,997,;5,026,;1,109,;2,186,;2,204,;1,9,;3,737,;2,129,;3,751,;3,046,;1,421,;3,475,;0,934,;1,115,;1,535,;0,45,;6,619,;1,755,;4,077,;3,652,;1,713,;5,826,;1,258,;2,785,;2,07,;0,786,;6,198,;1,319,;2,897,;2,159,;0,988,;10,749,;3,167,;4,673,;2,617,;1,059,;5,231,;1,628,;2,786,;1,816,;0,899
1716315242;21/05/2024;18:14:02;Izquierda;9,453,;2,089,;4,807,;3,092,;1,161,;8,054,;2,483,;5,487,;2,888,;1,155,;6,558,;1,368,;2,898,;1,995,;0,87,;6,17,;1,911,;4,183,;2,488,;1,017,;6,672,;2,034,;4,674,;2,875,;1,221,;5,931,;2,097,;4,583,;3,202,;2,219,;6,411,;1,236,;2,695,;2,439,;1,983,;5,08,;2,064,;4,617,;3,424,;1,34,;3,63,;0,828,;1,416,;1,467,;0,447,;10,012,;1,848,;5,246,;3,686,;1,57,;7,217,;1,139,;3,43,;2,147,;0,755,;8,41,;1,429,;3,446,;2,314,;0,973,;10,805,;2,335,;5,156,;2,657,;0,986,;7,901,;1,574,;3,189,;1,952,;0,883
