Timestamp;Fecha;Hora;Movimiento;AF3/theta,;AF3/alpha,;AF3/betaL,;AF3/betaH,;AF3/gamma,;F7/theta,;F7/alpha,;F7/betaL,;F7/betaH,;F7/gamma,;F3/theta,;F3/alpha,;F3/betaL,;F3/betaH,;F3/gamma,;FC5/theta,;FC5/alpha,;FC5/betaL,;FC5/betaH,;FC5/gamma,;T7/theta,;T7/alpha,;T7/betaL,;T7/betaH,;T7/gamma,;P7/theta,;P7/alpha,;P7/betaL,;P7/betaH,;P7/gamma,;O1/theta,;O1/alpha,;O1/betaL,;O1/betaH,;O1/gamma,;O2/theta,;O2/alpha,;O2/betaL,;O2/betaH,;O2/gamma,;P8/theta,;P8/alpha,;P8/betaL,;P8/betaH,;P8/gamma,;T8/theta,;T8/alpha,;T8/betaL,;T8/betaH,;T8/gamma,;FC6/theta,;FC6/alpha,;FC6/betaL,;FC6/betaH,;FC6/gamma,;F4/theta,;F4/alpha,;F4/betaL,;F4/betaH,;F4/gamma,;F8/theta,;F8/alpha,;F8/betaL,;F8/betaH,;F8/gamma,;AF4/theta,;AF4/alpha,;AF4/betaL,;AF4/betaH,;AF4/gamma
1716316959;21/05/2024;18:42:39;Jalar;2,275,;1,811,;1,417,;1,018,;0,779,;0,545,;1,068,;0,695,;0,96,;0,709,;3,978,;2,007,;1,55,;1,193,;0,879,;1,386,;1,115,;1,244,;1,151,;0,672,;1,654,;1,042,;1,184,;0,862,;0,783,;1,59,;0,847,;1,633,;0,91,;0,749,;3,769,;1,238,;1,948,;1,052,;0,983,;2,74,;1,743,;3,016,;0,882,;1,018,;0,899,;0,645,;0,866,;0,343,;0,346,;3,569,;2,738,;1,998,;1,331,;0,769,;4,517,;3,016,;4,086,;2,064,;1,277,;9,578,;5,961,;7,112,;2,714,;1,931,;7,937,;4,53,;4,729,;2,857,;1,047,;1,999,;0,605,;1,541,;1,028,;0,6
1716316959;21/05/2024;18:42:39;Jalar;2,115,;1,691,;1,325,;1,14,;0,76,;1,056,;1,524,;0,626,;1,098,;0,67,;3,782,;2,072,;1,494,;1,37,;0,892,;1,589,;1,416,;1,196,;1,331,;0,636,;2,171,;1,55,;0,938,;1,027,;0,768,;1,701,;1,061,;1,334,;1,013,;0,741,;3,789,;1,506,;1,48,;1,163,;1,004,;2,856,;2,191,;2,57,;0,968,;0,942,;0,858,;0,647,;0,697,;0,351,;0,318,;3,622,;2,912,;1,684,;1,35,;0,766,;4,77,;3,44,;3,938,;2,324,;1,217,;9,218,;6,953,;6,264,;3,083,;1,947,;7,941,;5,032,;4,531,;2,945,;0,958,;2,055,;0,787,;1,436,;1,095,;0,572
1716316959;21/05/2024;18:42:39;Jalar;1,832,;1,493,;1,186,;1,246,;0,778,;2,308,;2,46,;0,682,;1,22,;0,645,;3,312,;2,127,;1,403,;1,572,;0,924,;2,136,;2,083,;1,198,;1,522,;0,628,;2,778,;2,384,;0,776,;1,174,;0,755,;1,699,;1,339,;1,024,;1,081,;0,747,;3,471,;2,019,;0,993,;1,239,;1,013,;2,82,;2,844,;1,961,;1,087,;0,874,;0,789,;0,613,;0,537,;0,362,;0,282,;3,418,;2,907,;1,397,;1,431,;0,776,;4,841,;3,953,;3,429,;2,627,;1,168,;8,002,;7,943,;4,981,;3,437,;1,989,;7,473,;5,409,;4,085,;3,101,;0,894,;1,957,;1,099,;1,225,;1,111,;0,562
1716316959;21/05/2024;18:42:39;Jalar;1,755,;1,271,;1,035,;1,29,;0,82,;4,325,;3,725,;0,858,;1,293,;0,637,;3,049,;2,229,;1,31,;1,749,;0,955,;3,111,;2,932,;1,243,;1,672,;0,645,;3,408,;3,379,;0,717,;1,271,;0,756,;1,62,;1,626,;0,773,;1,09,;0,772,;2,947,;2,766,;0,586,;1,252,;1,012,;2,77,;3,706,;1,313,;1,197,;0,825,;0,746,;0,556,;0,393,;0,366,;0,245,;3,156,;2,733,;1,144,;1,533,;0,8,;5,097,;4,639,;2,651,;2,883,;1,142,;6,668,;9,195,;3,536,;3,65,;2,032,;6,933,;5,737,;3,435,;3,252,;0,865,;1,904,;1,551,;0,948,;1,062,;0,58
1716316960;21/05/2024;18:42:40;Jalar;2,187,;1,132,;0,923,;1,248,;0,869,;6,849,;4,992,;1,119,;1,291,;0,645,;3,491,;2,487,;1,256,;1,846,;0,97,;4,511,;3,725,;1,318,;1,731,;0,68,;4;4,281,;0,771,;1,3,;0,772,;1,523,;1,861,;0,625,;1,032,;0,808,;2,414,;3,636,;0,325,;1,199,;1,004,;2,85,;4,685,;0,771,;1,26,;0,796,;0,77,;0,503,;0,273,;0,355,;0,218,;3,057,;2,469,;0,935,;1,595,;0,833,;5,83,;5,484,;1,808,;2,992,;1,146,;6,034,;10,914,;2,297,;3,631,;2,059,;6,706,;6,039,;2,714,;3,289,;0,874,;2,091,;2,081,;0,676,;0,952,;0,62
1716316960;21/05/2024;18:42:40;Jalar;3,179,;1,132,;0,869,;1,135,;0,906,;9,294,;5,843,;1,397,;1,212,;0,655,;4,783,;2,906,;1,243,;1,833,;0,954,;6,114,;4,185,;1,382,;1,673,;0,713,;4,467,;4,798,;0,914,;1,258,;0,793,;1,437,;1,973,;0,579,;0,919,;0,837,;1,966,;4,403,;0,21,;1,103,;0,984,;3,095,;5,572,;0,422,;1,263,;0,78,;0,859,;0,475,;0,182,;0,332,;0,202,;3,176,;2,189,;0,775,;1,575,;0,863,;6,988,;6,294,;1,099,;2,903,;1,167,;6,484,;12,887,;1,498,;3,363,;2,054,;6,882,;6,227,;2,064,;3,149,;0,914,;2,563,;2,553,;0,463,;0,809,;0,663
1716316960;21/05/2024;18:42:40;Jalar;4,461,;1,233,;0,845,;0,99,;0,923,;10,971,;5,975,;1,613,;1,075,;0,653,;6,577,;3,345,;1,234,;1,718,;0,903,;7,497,;4,13,;1,379,;1,507,;0,724,;4,702,;4,738,;1,091,;1,154,;0,798,;1,369,;1,909,;0,598,;0,78,;0,842,;1,71,;4,827,;0,187,;0,991,;0,943,;3,447,;6,096,;0,268,;1,216,;0,763,;0,977,;0,469,;0,12,;0,304,;0,199,;3,457,;1,917,;0,652,;1,468,;0,878,;8,204,;6,741,;0,63,;2,629,;1,18,;7,754,;14,479,;1,137,;2,907,;2,003,;7,235,;6,133,;1,551,;2,836,;0,965,;3,178,;2,803,;0,33,;0,672,;0,681
1716316960;21/05/2024;18:42:40;Jalar;5,551,;1,35,;0,804,;0,86,;0,926,;11,397,;5,332,;1,711,;0,915,;0,638,;8,177,;3,591,;1,186,;1,561,;0,829,;8,254,;3,573,;1,281,;1,28,;0,71,;4,623,;4,096,;1,246,;1,01,;0,777,;1,309,;1,667,;0,642,;0,642,;0,815,;1,624,;4,756,;0,201,;0,889,;0,879,;3,738,;6,048,;0,251,;1,14,;0,738,;1,054,;0,463,;0,086,;0,285,;0,207,;3,627,;1,636,;0,545,;1,302,;0,872,;8,871,;6,558,;0,391,;2,246,;1,17,;9,006,;14,968,;1,051,;2,382,;1,91,;7,236,;5,627,;1,168,;2,422,;1,011,;3,664,;2,716,;0,264,;0,581,;0,658
1716316960;21/05/2024;18:42:40;Jalar;5,998,;1,414,;0,725,;0,775,;0,928,;10,488,;4,136,;1,673,;0,769,;0,624,;8,903,;3,473,;1,075,;1,434,;0,769,;8,147,;2,716,;1,102,;1,066,;0,688,;4,236,;3,068,;1,343,;0,853,;0,738,;1,253,;1,299,;0,693,;0,531,;0,771,;1,686,;4,182,;0,223,;0,812,;0,81,;3,846,;5,384,;0,292,;1,058,;0,707,;1,059,;0,431,;0,078,;0,277,;0,228,;3,499,;1,333,;0,46,;1,128,;0,858,;8,603,;5,712,;0,302,;1,856,;1,149,;9,425,;13,949,;1,048,;1,92,;1,804,;6,605,;4,761,;0,9,;2,015,;1,057,;3,792,;2,313,;0,237,;0,556,;0,605
1716316960;21/05/2024;18:42:40;Jalar;5,741,;1,439,;0,647,;0,743,;0,945,;8,601,;2,778,;1,527,;0,664,;0,639,;8,486,;3,007,;0,936,;1,383,;0,764,;7,239,;1,858,;0,897,;0,923,;0,69,;3,639,;1,964,;1,367,;0,705,;0,707,;1,201,;0,901,;0,746,;0,459,;0,737,;1,872,;3,271,;0,253,;0,763,;0,763,;3,775,;4,309,;0,337,;0,982,;0,687,;0,983,;0,369,;0,091,;0,281,;0,266,;3,046,;1,07,;0,43,;0,985,;0,858,;7,546,;4,591,;0,295,;1,539,;1,154,;8,773,;11,736,;1,029,;1,607,;1,738,;5,812,;4,003,;0,827,;1,702,;1,127,;3,573,;1,808,;0,249,;0,586,;0,552
